,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
0,Horto flat with small garden,Brazil,Apartment,317.00,Entire home/apt,1.0,2.0,4,flexible,0,2,0.00,1125,1,0.0,2019-02-11,Ynaie,1,2019-02-11,0,-43.23074991429229,-22.966253551739655
1,Ribeira Charming Duplex,Portugal,House,80.00,Entire home/apt,3.0,5.0,8,moderate,51,2,15.00,30,6,9.0,2019-02-16,Ana&Gonçalo,3,2019-02-16,239,-8.61308,41.1413
2,Private Room in Bushwick,United States,Apartment,40.00,Private room,1.0,1.0,1,flexible,1,14,0.00,1125,1,10.0,2019-03-06,Josh,1,2019-03-06,0,-73.93615,40.69791
3,New York City - Upper West Side Apt,United States,Apartment,135.00,Private room,1.0,1.0,2,strict_14_with_grace_period,70,12,0.00,360,1,9.0,2019-03-07,Greta,3,2019-03-07,93,-73.96523,40.79962
4,Nice room in Barcelona Center,Spain,Apartment,50.00,Private room,1.0,2.0,2,flexible,0,1,0.00,9,1,0.0,2019-03-08,Anna,1,2019-03-08,0,2.16942,41.40082
5,Charming Flat in Downtown Moda,Turkey,House,527.00,Entire home/apt,2.0,6.0,6,flexible,1,2,211.00,1125,1,10.0,2019-02-18,Zeynep,2,2019-02-18,362,29.03133,40.98585
6,Deluxe Loft Suite,United States,Apartment,205.00,Entire home/apt,0.0,2.0,4,strict_14_with_grace_period,5,3,0.00,1125,1,10.0,2019-03-07,Mae,13,2019-03-07,243,-73.94472,40.72778
7,Ligne verte - à 15 min de métro du centre ville.,Canada,Apartment,43.00,Entire home/apt,0.0,1.0,2,moderate,0,2,12.00,1125,1,0.0,2019-03-11,Caro,1,2019-03-11,32,-73.54949,45.54548
8,Be Happy in Porto,Portugal,Loft,30.00,Entire home/apt,1.0,1.0,2,moderate,178,2,0.00,1125,1,10.0,2019-02-16,Fábio,3,2019-02-16,335,-8.61123,41.15225
9,Copacabana Apartment Posto 6,Brazil,Apartment,119.00,Entire home/apt,1.0,3.0,4,strict_14_with_grace_period,70,3,40.00,75,3,10.0,2019-02-11,Ana Valéria,2,2019-02-11,118,-43.190849194463404,-22.984339360067814
10,"Soho Cozy, Spacious and Convenient",Hong Kong,Apartment,699.00,Entire home/apt,1.0,2.0,3,flexible,3,4,0.00,20,1,10.0,2019-03-11,Giovanni,1,2019-03-11,0,114.15027,22.28158
11,3 chambres au coeur du Plateau,Canada,Apartment,140.00,Entire home/apt,3.0,3.0,6,flexible,0,1,0.00,1125,1,0.0,2019-03-11,Margaux,2,2019-03-11,0,-73.57383,45.52233
12,Ótimo Apto proximo Parque Olimpico,Brazil,Apartment,858.00,Entire home/apt,2.0,2.0,5,strict_14_with_grace_period,0,15,75.00,20,1,0.0,2019-02-11,Jonathan,1,2019-02-11,0,-43.4311123147628,-23.00035792660916
13,Ocean View Waikiki Marina w/prkg,United States,Condominium,115.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,96,3,0.00,365,1,8.0,2019-03-06,David,18,2019-03-06,343,-157.83919,21.28634
14,Apt Linda Vista Lagoa - Rio,Brazil,Apartment,701.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Livia,1,2019-02-11,363,-43.205047082633435,-22.971950988341874
15,Catete's Colonial Big Hause Room B,Brazil,House,250.00,Private room,1.0,8.0,8,strict_14_with_grace_period,1,2,40.00,1125,4,6.0,2019-02-11,Beatriz,5,2019-02-11,296,-43.18015675229857,-22.92638234778768
16,Modern Spacious 1 Bedroom Loft,Canada,Apartment,50.00,Entire home/apt,1.0,2.0,4,flexible,0,1,31.00,1125,1,0.0,2019-03-11,Konstantin,1,2019-03-11,0,-73.59111,45.51889
17,Double Room en-suite (307),Hong Kong,Apartment,361.00,Private room,1.0,1.0,2,strict_14_with_grace_period,0,1,130.00,1125,2,0.0,2019-03-11,Ken,6,2019-03-11,365,114.17158,22.30469
18,Cozy house at Beyoğlu,Turkey,Apartment,58.00,Private room,1.0,1.0,2,flexible,27,2,60.00,1125,1,9.0,2019-02-18,Ali,8,2019-02-18,37,28.95825,41.03777
19,THE Place to See Sydney's FIREWORKS,Australia,House,250.00,Entire home/apt,1.0,1.0,2,moderate,0,2,0.00,1125,1,0.0,2019-03-07,Kristin,1,2019-03-07,0,151.17956,-33.86296
20,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Turkey,Serviced apartment,838.00,Entire home/apt,2.0,4.0,4,strict_14_with_grace_period,3,1,0.00,1125,1,7.0,2019-02-18,Ahmet,16,2019-02-18,365,28.98713,41.04841
21,The LES Apartment,United States,Apartment,150.00,Entire home/apt,1.0,1.0,3,flexible,0,3,0.00,1125,1,0.0,2019-03-06,Mert,1,2019-03-06,0,-73.98944,40.72063
22,2 bedroom Upper east side,United States,Apartment,275.00,Entire home/apt,2.0,2.0,5,strict_14_with_grace_period,9,2,0.00,7,1,8.0,2019-03-06,Chelsea,2,2019-03-06,0,-73.95854,40.7664
23,A bedroom far away from home,United States,Apartment,45.00,Private room,1.0,1.0,2,strict_14_with_grace_period,239,1,10.00,10,1,10.0,2019-03-07,Lane,1,2019-03-07,34,-73.82257,40.71485
24,City center private room with bed,Hong Kong,Guesthouse,181.00,Private room,1.0,1.0,1,strict_14_with_grace_period,81,1,100.00,500,1,8.0,2019-03-11,Yi,2,2019-03-11,220,114.1669,22.3314
25,Surry Hills Studio - Your Perfect Base in Sydney,Australia,Apartment,181.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,64,10,0.00,21,1,9.0,2019-03-07,Ben,1,2019-03-07,0,151.21554,-33.88029
26,Easy 1 Bedroom in Chelsea,United States,Apartment,145.00,Entire home/apt,1.0,1.0,2,flexible,1,2,0.00,1125,1,10.0,2019-03-06,Scott,1,2019-03-06,0,-74.00074,40.74577
27,Sydney Hyde Park City Apartment (checkin from 6am),Australia,Apartment,185.00,Entire home/apt,1.0,1.0,2,moderate,109,2,0.00,30,1,10.0,2019-03-07,Desireé,1,2019-03-07,265,151.21346,-33.87603
28,Downtown Oporto Inn (room cleaning),Portugal,Hostel,40.00,Private room,1.0,1.0,2,moderate,0,1,25.00,1125,2,0.0,2019-02-16,Elisabete,2,2019-02-16,359,-8.60867,41.1543
29,Double and triple rooms Blue mosque,Turkey,Bed and breakfast,121.00,Private room,1.0,2.0,3,moderate,29,1,0.00,1125,1,9.0,2019-02-18,Mehmet Emin,2,2019-02-18,365,28.98009,41.0062
30,Room Close to LGA and 35 mins to Times Square,United States,Apartment,46.00,Private room,1.0,1.0,2,strict_14_with_grace_period,123,2,10.00,1125,1,10.0,2019-03-07,Cheer,1,2019-03-07,365,-73.88025,40.74953
31,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Turkey,Serviced apartment,997.00,Entire home/apt,2.0,5.0,6,moderate,0,1,0.00,1125,1,0.0,2019-02-18,Ahmet,16,2019-02-18,365,28.98818,41.04772
32,Apartamento zona sul do RJ,Brazil,Apartment,933.00,Entire home/apt,3.0,3.0,5,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Luiz Rodrigo,1,2019-02-11,365,-43.1825954762751,-22.930541460367934
33,A Casa Alegre é um apartamento T1.,Portugal,Apartment,40.00,Entire home/apt,1.0,1.0,2,moderate,12,7,0.00,180,2,10.0,2019-02-16,Manuela,1,2019-02-16,46,-8.75383,41.3596
34,Great studio opp. Narrabeen Lake,Australia,Apartment,117.00,Entire home/apt,0.0,1.0,2,moderate,61,1,20.00,1125,1,10.0,2019-03-07,Tracy,1,2019-03-07,26,151.29792,-33.71472
35,Large railroad style 3 bedroom apt in Manhattan!,United States,Apartment,180.00,Entire home/apt,3.0,4.0,9,strict_14_with_grace_period,22,3,19.00,6,4,9.0,2019-03-06,Vick,1,2019-03-06,0,-73.93943,40.79805
36,Cozy Queen Guest Room&My,Hong Kong,Apartment,330.00,Private room,1.0,1.0,2,strict_14_with_grace_period,9,1,0.00,500,1,7.0,2019-03-11,Danny,29,2019-03-11,135,114.17034,22.31655
37,Cozy aptartment in Recreio (near Olympic Venues),Brazil,Apartment,746.00,Entire home/apt,3.0,3.0,6,flexible,0,2,187.00,30,4,0.0,2019-02-11,José Augusto,1,2019-02-11,0,-43.45296045334386,-23.008710784460312
38,Cozy double bed room 東涌鄉村雅緻雙人房,Hong Kong,Guesthouse,487.00,Private room,1.0,1.0,2,moderate,162,1,0.00,1125,1,10.0,2019-03-11,Ricky,5,2019-03-11,339,113.92823,22.27671
39,Private Room (2)  in Guest House at Coogee Beach,Australia,House,64.00,Private room,1.0,2.0,2,strict_14_with_grace_period,8,3,0.00,365,1,10.0,2019-03-07,David,6,2019-03-07,20,151.25541,-33.92398
40,"Cozy Nest, heart of the Plateau",Canada,Apartment,34.00,Private room,1.0,1.0,1,strict_14_with_grace_period,62,2,10.00,120,1,9.0,2019-03-11,Lilou,1,2019-03-11,0,-73.58774,45.52028
41,Uygun nezih daire,Turkey,Apartment,264.00,Entire home/apt,1.0,2.0,4,flexible,0,1,53.00,1125,1,0.0,2019-02-18,Yaşar,1,2019-02-18,365,28.89964,40.99667
42,"Friendly Apartment, 10m from Manly",Australia,Apartment,36.00,Private room,1.0,1.0,2,flexible,4,1,20.00,1125,2,10.0,2019-03-07,Isaac,1,2019-03-07,0,151.26969,-33.79629
43,"Big, Bright & Convenient Sheung Wan",Hong Kong,Apartment,966.00,Entire home/apt,0.0,1.0,2,moderate,1,2,0.00,1125,1,10.0,2019-03-11,Regg,1,2019-03-11,0,114.15007,22.28422
44,Resort-like living in Williamsburg,United States,Apartment,220.00,Entire home/apt,2.0,2.0,4,strict_14_with_grace_period,1,5,0.00,1125,1,8.0,2019-03-06,Mohammed,1,2019-03-06,0,-73.93869,40.71552
45,Apto semi mobiliado,Brazil,Apartment,380.00,Entire home/apt,2.0,2.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Ricardo,1,2019-02-11,365,-43.24277868091869,-22.915009354482486
46,Roof double bed private room,Turkey,Loft,185.00,Private room,1.0,2.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Mustafa,1,2019-02-18,365,29.03693,41.12452
47,Ipanema: moderno apê 2BR + garagem,Brazil,Apartment,298.00,Entire home/apt,2.0,2.0,4,strict_14_with_grace_period,24,4,50.00,1125,2,10.0,2019-02-11,Barbara,13,2019-02-11,174,-43.1998455458952,-22.980051683700506
48,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",United States,Condominium,499.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,1,1,0.00,1125,1,10.0,2019-03-06,Holly,472,2019-03-06,365,-156.68012,20.96996
49,Twin Bed room+MTR Mongkok shopping&My,Hong Kong,Apartment,400.00,Private room,1.0,2.0,3,strict_14_with_grace_period,22,1,0.00,500,1,9.0,2019-03-11,Danny,29,2019-03-11,145,114.17073,22.31723
50,"Kailua-Kona, Kona Coast II 2b condo",United States,Apartment,135.00,Entire home/apt,2.0,3.0,6,strict_14_with_grace_period,1,7,0.00,7,1,8.0,2019-03-06,Daniel,1,2019-03-06,196,-155.96445,19.5702
51,Quarto inteiro na Tijuca,Brazil,Apartment,149.00,Private room,1.0,1.0,1,flexible,1,1,0.00,15,1,10.0,2019-02-11,Gilberto,2,2019-02-11,178,-43.247421907135774,-22.936203246553816
52,Your spot in Copacabana,Brazil,Apartment,798.00,Entire home/apt,2.0,5.0,6,strict_14_with_grace_period,8,2,20.00,15,4,9.0,2019-02-11,Ana Lúcia,1,2019-02-11,247,-43.17714541632985,-22.96270793328072
53,Alugo Apart frente mar Barra Tijuca,Brazil,Apartment,933.00,Entire home/apt,1.0,2.0,4,flexible,0,10,0.00,90,1,0.0,2019-02-11,Paulo Cesar,1,2019-02-11,363,-43.36831676949888,-23.011117008024065
54,Makaha Valley Paradise with OceanView,United States,Condominium,95.00,Entire home/apt,1.0,2.0,4,moderate,32,3,0.00,180,1,10.0,2019-03-06,Ray And Lise,2,2019-03-06,246,-158.20291,21.4818
55,FloresRooms 3T,Portugal,Apartment,31.00,Entire home/apt,0.0,1.0,2,moderate,225,2,0.00,1124,1,10.0,2019-02-16,Andreia,6,2019-02-16,278,-8.61205,41.14404
56,"Amazing and Big Apt, Ipanema Beach.",Brazil,Apartment,1999.00,Entire home/apt,3.0,4.0,6,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Pedro,1,2019-02-11,0,-43.20465630892734,-22.983108745795256
57,Small Room w Bathroom Flamengo Rio de Janeiro,Brazil,Apartment,71.00,Private room,1.0,1.0,1,moderate,1,4,0.00,1125,1,8.0,2019-02-11,Fernanda,2,2019-02-11,0,-43.17645081249057,-22.93848268819496
58,UWS Brownstone Near Central Park,United States,Apartment,212.00,Entire home/apt,1.0,3.0,3,moderate,45,21,0.00,30,1,9.0,2019-03-06,Chas,4,2019-03-06,5,-73.9696,40.78558
59,~Ao Lele~ Flying Cloud,United States,Treehouse,185.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,103,2,0.00,30,2,10.0,2019-03-06,Mike,1,2019-03-06,165,-155.21763,19.42151
60,Cozy Art Top Floor Apt in PRIME Williamsburg!,United States,Apartment,175.00,Entire home/apt,1.0,2.0,2,strict_14_with_grace_period,117,2,300.00,300,2,10.0,2019-03-07,Ade,1,2019-03-07,363,-73.96053,40.71577
61,IPANEMA LUXURY PENTHOUSE with MAID,Brazil,Apartment,858.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,29,1,112.00,1125,3,10.0,2019-02-11,Cesar,3,2019-02-11,345,-43.20056249420509,-22.98034625363379
62,Suíte em local tranquilo e seguro,Brazil,House,101.00,Private room,1.0,1.0,1,moderate,0,1,50.00,1125,1,0.0,2019-02-11,Renato,7,2019-02-11,357,-43.33496705036137,-22.948365490450556
63,Banyan Bungalow,United States,Bungalow,100.00,Entire home/apt,0.0,1.0,2,flexible,99,2,20.00,300,1,9.0,2019-03-06,Bobby,1,2019-03-06,321,-158.1602,21.57561
64,Room For Erasmus,Turkey,Apartment,37.00,Private room,2.0,2.0,2,flexible,1,1,0.00,1125,1,0.0,2019-02-18,Kemal,1,2019-02-18,365,29.06064,40.98837
65,BBC OPORTO 4X2,Portugal,Apartment,100.00,Entire home/apt,4.0,8.0,8,flexible,71,3,0.00,1125,1,9.0,2019-02-16,Cristina,3,2019-02-16,264,-8.60069,41.16246
66,luxury apartment in istanbul taxsim,Turkey,Apartment,269.00,Entire home/apt,1.0,3.0,4,strict_14_with_grace_period,135,2,42.00,1125,3,9.0,2019-02-18,Osman,10,2019-02-18,317,28.98538,41.03326
67,Pousada das Colonias,Brazil,Bed and breakfast,138.00,Private room,1.0,1.0,2,strict_14_with_grace_period,9,1,70.00,1125,2,10.0,2019-02-11,Lidia Maria,4,2019-02-11,347,-43.3089745798612,-23.004633399469007
68,Quarto Taquara - Jacarepaguá,Brazil,Apartment,101.00,Private room,1.0,1.0,2,strict_14_with_grace_period,1,2,20.00,1125,1,10.0,2019-02-11,Luana,2,2019-02-11,365,-43.37035220190699,-22.91636184358952
69,A large sunny bedroom,United States,Apartment,35.00,Private room,1.0,1.0,1,moderate,2,3,0.00,1125,1,10.0,2019-03-06,Ehssan,1,2019-03-06,0,-73.90052,40.85598
70,Apartamento Mobiliado - Lgo do Machado,Brazil,Apartment,149.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,0,30,40.00,365,2,0.0,2019-02-11,Marcelo,7,2019-02-11,316,-43.178886292069244,-22.931715899178695
71,Private OceanFront - Bathtub Beach. Spacious House,United States,House,795.00,Entire home/apt,4.0,10.0,14,strict_14_with_grace_period,32,3,0.00,1125,1,9.0,2019-03-06,Noah,1,2019-03-06,229,-157.91952,21.63549
72,Best location 1BR Apt in HK - Shops & Sights,Hong Kong,Apartment,997.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,145,1,160.00,60,2,10.0,2019-03-11,Simon,17,2019-03-11,170,114.17088,22.29663
73,,Turkey,Apartment,105.00,Private room,1.0,2.0,4,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Seda,1,2019-02-18,0,29.05108,41.08835
74,Beautiful flat with services,Brazil,Apartment,351.00,Entire home/apt,2.0,2.0,4,strict_14_with_grace_period,32,3,500.00,1125,4,9.0,2019-02-11,Liliane,2,2019-02-11,316,-43.20577175003696,-22.982557305257775
75,(1) Beach Guest House - Go Make A Trip,Brazil,Bed and breakfast,112.00,Private room,1.0,1.0,2,flexible,11,1,0.00,1125,2,10.0,2019-02-11,Rafael,8,2019-02-11,309,-43.353970672578306,-23.008991691724663
76,"Studio convenient to CBD, beaches, street parking.",Australia,Guest suite,45.00,Entire home/apt,1.0,4.0,5,moderate,104,2,25.00,3,2,9.0,2019-03-07,Leslie,1,2019-03-07,0,151.26108,-33.7975
77,Greenwich Fun and Luxury,Australia,House,999.00,Entire home/apt,4.0,4.0,6,flexible,0,5,0.00,1125,1,0.0,2019-03-07,Craig,1,2019-03-07,365,151.18563,-33.8289
78,Cheerful new renovated central apt,Turkey,Apartment,264.00,Entire home/apt,3.0,4.0,8,moderate,77,3,36.00,1125,4,9.0,2019-02-18,Aybike,1,2019-02-18,326,28.97477,41.03735
79,Heroísmo IV,Portugal,Apartment,29.00,Entire home/apt,0.0,1.0,2,moderate,31,1,0.00,1125,2,9.0,2019-02-16,Apartments2Enjoy,9,2019-02-16,309,-8.59275,41.1462
80,Cozy House in Ortaköy,Turkey,Apartment,100.00,Private room,1.0,2.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Orcun,1,2019-02-18,365,29.02519,41.05197
81,Condomínio Praia Barra da Tijuca,Brazil,Condominium,351.00,Entire home/apt,2.0,5.0,6,strict_14_with_grace_period,18,2,0.00,1125,1,10.0,2019-02-11,Paula,1,2019-02-11,172,-43.32231287289854,-23.009702689174244
82,位於深水埗地鐵站的溫馨公寓,Hong Kong,Apartment,353.00,Private room,1.0,2.0,4,strict_14_with_grace_period,18,1,50.00,1125,1,7.0,2019-03-11,Aaron,28,2019-03-11,365,114.16262,22.32733
83,Homely Room in 5-Star New Condo@MTR,Hong Kong,Condominium,479.00,Private room,1.0,1.0,2,strict_14_with_grace_period,179,28,150.00,1125,1,9.0,2019-03-11,Crystal,5,2019-03-11,3,114.17094,22.32074
84,Tropical Jungle Oasis,United States,Condominium,125.00,Entire home/apt,2.0,3.0,4,moderate,65,2,0.00,1125,1,10.0,2019-03-06,Douglas,1,2019-03-06,65,-155.09259,19.73108
85,Whole Apt. in East Williamsburg,United States,Apartment,125.00,Entire home/apt,1.0,1.0,4,moderate,126,4,30.00,90,2,10.0,2019-03-07,Guillermo,3,2019-03-07,168,-73.93981,40.70687
86,Jubilee By The Sea (Ocean Views),United States,House,325.00,Entire home/apt,4.0,6.0,11,strict_14_with_grace_period,45,2,25.00,90,8,10.0,2019-03-06,Nate,3,2019-03-06,267,-155.97349,19.61318
87,Bondi Beach Dreaming 3-Bed House,Australia,House,399.00,Entire home/apt,3.0,6.0,8,strict_14_with_grace_period,139,2,35.00,1125,6,10.0,2019-03-07,Cat,5,2019-03-07,0,151.27448,-33.8872
88,Where Castles and Art meet the Sea,Portugal,Apartment,80.00,Entire home/apt,1.0,2.0,4,moderate,13,5,0.00,1125,1,10.0,2019-02-16,Jose,1,2019-02-16,27,-8.68887,41.17544
89,Aluguel Temporada Casa São Conrado,Brazil,House,2499.00,Entire home/apt,4.0,8.0,11,flexible,0,5,0.00,1125,1,0.0,2019-02-11,Maria Pia,1,2019-02-11,365,-43.27502007153333,-22.99391888061395
90,The Garden Studio,Australia,Guesthouse,129.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,146,2,0.00,40,1,10.0,2019-03-07,Cath,1,2019-03-07,365,151.15036,-33.90318
91,Rented Room,Brazil,Apartment,112.00,Private room,1.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Jercilene,1,2019-02-11,365,-43.17933175178738,-22.941321220162784
92,Sun filled comfortable apartment,Australia,Apartment,85.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,2,1,0.00,1125,1,10.0,2019-03-07,Harry,1,2019-03-07,0,151.22559,-33.87604
93,March 2019 availability! Oceanview on Sugar Beach!,United States,Condominium,229.00,Entire home/apt,1.0,3.0,4,strict_14_with_grace_period,19,4,0.00,1125,1,9.0,2019-03-06,Gage,1,2019-03-06,228,-156.46881,20.78621
94,Sala e quarto em copacabana com cozinha americana,Brazil,Apartment,298.00,Entire home/apt,1.0,1.0,3,flexible,0,4,0.00,1125,1,0.0,2019-02-11,Tamara,1,2019-02-11,0,-43.177948896979196,-22.963149303022142
95,Luxury 1-Bdrm in Downtown Brooklyn,United States,Apartment,144.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,1,3,0.00,30,1,0.0,2019-03-06,Ashley,1,2019-03-06,0,-73.98102,40.69406
96,Cozy bedroom Sagrada Familia,Spain,Apartment,20.00,Private room,1.0,2.0,2,flexible,1,2,0.00,1125,1,10.0,2019-03-08,Rapha,1,2019-03-08,0,2.17963,41.40087
97,Park Guell apartment with terrace,Spain,Apartment,85.00,Entire home/apt,2.0,3.0,6,strict_14_with_grace_period,51,2,0.00,1125,6,7.0,2019-03-08,Alexandra Y Juan,12,2019-03-08,174,2.15836,41.41582
98,Charming Spacious Park Slope Studio,United States,Guest suite,135.00,Entire home/apt,0.0,0.0,3,moderate,115,3,25.00,1125,2,10.0,2019-03-07,Ildiko,1,2019-03-07,204,-73.98307,40.6651
99,Jardim Botânico Gourmet 2 bdroom,Brazil,Apartment,395.00,Entire home/apt,2.0,5.0,6,strict_14_with_grace_period,9,2,35.00,1125,4,9.0,2019-02-11,Roberta (Beta) Gatti,18,2019-02-11,342,-43.22076222600562,-22.96448811710617
100,Grand apartment Sagrada Familia,Spain,Apartment,169.00,Entire home/apt,4.0,6.0,8,strict_14_with_grace_period,77,2,0.00,1125,10,9.0,2019-03-08,Alexandra Y Juan,12,2019-03-08,211,2.18146,41.39716
101,Nice Cosy Room In Taksim,Turkey,Apartment,105.00,Private room,1.0,1.0,2,strict_14_with_grace_period,31,3,60.00,1125,1,10.0,2019-02-18,Nihat,2,2019-02-18,336,28.98648,41.03376
102,Apt Quarto e Sala amplo Laranjeiras,Brazil,Apartment,701.00,Entire home/apt,1.0,4.0,4,flexible,0,5,0.00,1125,1,0.0,2019-02-11,Marianna,1,2019-02-11,0,-43.17974071338275,-22.9313871086666
103,Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,Brazil,Apartment,451.00,Entire home/apt,2.0,3.0,5,moderate,34,3,100.00,1120,4,9.0,2019-02-11,Aline,5,2019-02-11,329,-43.343027190397,-23.00878356989572
104,Quarto espaçoso e arejado no Rio.,Brazil,Hostel,187.00,Private room,1.0,1.0,2,flexible,1,3,0.00,7,1,0.0,2019-02-11,Mariana,1,2019-02-11,180,-43.189916447135005,-22.976504206582874
105,Apartamento para as olimpíadas,Brazil,Apartment,746.00,Entire home/apt,2.0,3.0,4,strict_14_with_grace_period,0,7,0.00,1125,1,0.0,2019-02-11,Rosane,1,2019-02-11,358,-43.1838890521465,-22.938257466286093
106,Hospede-se com acesso fácil.,Brazil,Condominium,134.00,Entire home/apt,2.0,3.0,4,flexible,0,5,0.00,1125,1,0.0,2019-02-11,Rose,1,2019-02-11,0,-43.24972983198035,-22.862647394041378
107,AP. EM CONDOMINIO FECHADO,Brazil,Apartment,172.00,Entire home/apt,2.0,2.0,4,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Adriano,1,2019-02-11,0,-43.21872245840377,-22.89142169593252
108,Designer Apartment in Sheung Wan,Hong Kong,Apartment,1484.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,18,1,0.00,1125,1,10.0,2019-03-11,Maria,1,2019-03-11,0,114.14881,22.28354
109,Serene luxury in Harlem,United States,Apartment,80.00,Private room,1.0,1.0,1,moderate,10,3,0.00,1125,1,10.0,2019-03-07,Erika,1,2019-03-07,339,-73.95211,40.80708
110,Cozy apartment 3 mins TAIWAI Subway,Hong Kong,Apartment,801.00,Entire home/apt,2.0,2.0,5,flexible,0,7,0.00,365,1,0.0,2019-03-11,Naomi,1,2019-03-11,0,114.12074,22.40547
111,"Charming Apartment,perfect Location",Brazil,Apartment,351.00,Entire home/apt,1.0,2.0,4,super_strict_30,110,2,60.00,89,2,9.0,2019-02-11,Fabio,65,2019-02-11,317,-43.175966118975914,-22.964922391816017
112,Lovely ap at Leblon beach,Brazil,Apartment,298.00,Entire home/apt,3.0,3.0,5,strict_14_with_grace_period,1,3,0.00,1125,1,10.0,2019-02-11,Sonia,2,2019-02-11,0,-43.22120070184858,-22.984162872106157
113,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Portugal,Apartment,55.00,Entire home/apt,0.0,2.0,4,strict_14_with_grace_period,62,2,7.00,28,2,10.0,2019-02-16,Tim,4,2019-02-16,243,-8.61279,41.14106
114,Nani La 'Ao (A Beautiful Day) Upstairs Suite,United States,House,72.00,Entire home/apt,1.0,1.0,2,moderate,18,3,10.00,25,2,9.0,2019-03-06,Sherri,2,2019-03-06,352,-155.02503,19.56081
115,CASA PARA AS OLIMPIADAS 2016,Brazil,House,3726.00,Entire home/apt,4.0,6.0,10,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-02-11,Priscila,1,2019-02-11,0,-43.43656065280531,-23.01216083013239
116,"Cozy, dreamy Mile End apartment",Canada,Apartment,30.00,Private room,1.0,1.0,2,strict_14_with_grace_period,0,2,15.00,1125,1,0.0,2019-03-11,Uma,1,2019-03-11,0,-73.60137,45.52517
117,Great location in Barcelona,Spain,Apartment,31.00,Entire home/apt,4.0,4.0,5,strict_14_with_grace_period,2,200,0.00,1125,2,8.0,2019-03-08,Marina E Mickael,3,2019-03-08,358,2.19057,41.41254
118,Relaxing and Roomy in Crown Heights,United States,Apartment,50.00,Private room,1.0,1.0,2,moderate,46,2,10.00,45,1,10.0,2019-03-07,Rachael,2,2019-03-07,64,-73.95667,40.67414
119,Ribeira Smart Flat,Portugal,Apartment,80.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,132,2,10.00,1124,2,10.0,2019-02-16,Mathieu,4,2019-02-16,214,-8.61602,41.14295
120,GREAT Apartment at Barra da Tijuca,Brazil,Apartment,933.00,Entire home/apt,3.0,7.0,6,moderate,13,4,19.00,100,4,10.0,2019-02-11,Luiz Henrique,2,2019-02-11,0,-43.32984175609327,-23.011124595436097
121,"Kadiköy, Moda, close to transports",Turkey,Apartment,137.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Bertille,1,2019-02-18,0,29.02588,40.98825
122,Triple room Barcelona Guell park,Spain,Condominium,40.00,Private room,1.0,3.0,3,strict_14_with_grace_period,191,2,8.00,1125,4,9.0,2019-03-08,Núria,2,2019-03-08,289,2.15533,41.40686
123,DOUBLE ROOM for 1 or 2 ppl,Spain,Apartment,15.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-03-08,Aleksandra,1,2019-03-08,0,2.17519,41.41035
124,Designer's Historical Apartment,Turkey,Apartment,385.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,17,2,0.00,1125,2,9.0,2019-02-18,Pia,2,2019-02-18,365,28.97994,41.03406
125,HUGE Bedroom in Lower East Side,United States,Apartment,90.00,Private room,1.0,1.0,1,flexible,0,7,40.00,1125,1,0.0,2019-03-06,Ryan,1,2019-03-06,0,-73.98319,40.71823
126,BALAT,Turkey,House,685.00,Private room,1.0,1.0,3,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Hanife,1,2019-02-18,365,28.94457,41.03301
