,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
4196,CASA DA CORUJA,Brazil,House,172.00,Entire home/apt,2.0,5.0,7,moderate,0,3,150.00,10,1,0.0,2019-02-11,Sandra Mara,1,2019-02-11,89,-43.595116683044736,-22.901330765550266
4197,Sharing apartment,Turkey,Apartment,58.00,Shared room,1.0,1.0,10,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Said,1,2019-02-18,364,28.8516,40.9943
4198,2 Suítes em Ipanema - Carnaval,Brazil,Guest suite,1201.00,Private room,2.0,2.0,4,flexible,0,4,0.00,10,1,0.0,2019-02-11,Julia,3,2019-02-11,325,-43.19491003294829,-22.98679889511544
4199,Causeway Bay Room(C1b),Hong Kong,Apartment,188.00,Shared room,1.0,1.0,1,flexible,0,29,0.00,1125,1,0.0,2019-03-11,Jov,229,2019-03-11,365,114.18432,22.277
4200,[Cozy 天空之城] 2mins near Tsim Sha Tsui Station,Hong Kong,Apartment,879.00,Entire home/apt,0.0,2.0,3,flexible,8,2,0.00,1125,1,9.0,2019-03-11,Life,4,2019-03-11,150,114.174,22.29892
4201,Private & comfy bedroom - Best Sunrise views,Canada,Apartment,23.00,Private room,1.0,1.0,1,flexible,0,10,7.00,56,1,0.0,2019-03-11,Ad,1,2019-03-11,16,-73.5621,45.53121
4202,Apartamento prox praia leblon,Brazil,Condominium,1999.00,Entire home/apt,3.0,3.0,8,flexible,0,2,0.00,1125,1,0.0,2019-02-11,Marcelo Da Silva,1,2019-02-11,360,-43.23146921874229,-22.985403065027803
4203,"Ótimo quarto,  wifi, melhor local do Recreio",Brazil,Apartment,45.00,Private room,1.0,2.0,2,strict_14_with_grace_period,0,3,20.00,365,1,0.0,2019-02-11,Fabio,40,2019-02-11,356,-43.45692219929574,-23.014966906587578
4204,Apt Rio Centro-   HINODE/ROCK IN RIO,Brazil,Apartment,90.00,Private room,1.0,1.0,1,strict_14_with_grace_period,0,1,50.00,6,1,0.0,2019-02-11,Amanda,2,2019-02-11,365,-43.41459583605654,-22.97258551817903
4205,Cozy Apt Downtown Sleeps 4ppl RmC MTR downstairs!,Hong Kong,Apartment,620.00,Entire home/apt,0.0,2.0,4,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-03-11,Maria,63,2019-03-11,331,114.17139,22.30441
4206,Quarto para a Copa do Mundo 2014 RJ,Brazil,Apartment,399.00,Private room,1.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Luiz,4,2019-02-11,0,-43.249801586676284,-22.993151428082932
4207,Private room for solo travellers,Turkey,Apartment,179.00,Private room,1.0,1.0,1,strict_14_with_grace_period,0,2,0.00,1125,1,0.0,2019-02-18,Lindsay,7,2019-02-18,364,29.01716,41.09239
4208,2 chambre appartement a louer downtown,Canada,Loft,301.00,Entire home/apt,2.0,2.0,4,flexible,0,1,40.00,1125,1,0.0,2019-03-11,Papy,3,2019-03-11,179,-73.56128,45.52468
4209,"HL408(Fourfold RM)Mong Kok MTR STATION,FREE WI-FI",Hong Kong,Hostel,534.00,Private room,1.0,2.0,4,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-03-11,Sam,51,2019-03-11,353,114.17075,22.31436
4210,Bedroom next to the subway station Flamengo,Brazil,Apartment,138.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,1,2,75.00,90,2,10.0,2019-02-11,Vânia,1,2019-02-11,0,-43.178146199799464,-22.936829208830687
4211,Stay at the Country Residence,Brazil,Serviced apartment,500.00,Entire home/apt,2.0,3.0,4,strict_14_with_grace_period,0,1,50.00,11,3,0.0,2019-02-11,Jorge,9,2019-02-11,17,-43.213774236301724,-22.985618348594446
4212,luxury apartment 02 in Taksim,Turkey,Serviced apartment,601.00,Entire home/apt,1.0,4.0,4,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-02-18,Leylak Suite,5,2019-02-18,311,28.98422,41.04185
4213,Great location sweet home Atatürk airport 5 minute,Turkey,Apartment,163.00,Entire home/apt,2.0,2.0,3,flexible,0,1,0.00,30,1,0.0,2019-02-18,Müjde,1,2019-02-18,0,28.88172,40.97801
4214,香港民宿,Hong Kong,Bed and breakfast,173.00,Private room,2.0,5.0,5,flexible,0,1,0.00,10,1,0.0,2019-03-11,鑫雲,3,2019-03-11,365,114.17066,22.31225
4215,Nice room available in central(ml9b),Hong Kong,Apartment,283.00,Private room,0.0,1.0,1,flexible,0,29,0.00,1125,1,0.0,2019-03-11,Ivy,47,2019-03-11,365,114.15659,22.28146
4216,"new, cosy, closed to metro station, boat piere,",Turkey,Apartment,237.00,Entire home/apt,2.0,3.0,4,flexible,1,2,50.00,1125,1,10.0,2019-02-18,Esin,1,2019-02-18,166,29.09252,40.96464
4217,¤¤Barrio Gótico de Barcelona,Spain,Apartment,39.00,Entire home/apt,1.0,3.0,4,strict_14_with_grace_period,1,2,10.00,1000,2,8.0,2019-03-08,M,10,2019-03-08,244,2.17647,41.3811
